datetime,Unnamed: 0.1,temp,ws,wdir,ws_model,wdir_model,temp_model,dewpoint_temp,pressure,lapse_rate,u_x,u_y,D_x,D_y,along_valley_component_of_wind,along_valley%
10,597.0,5.380190476190477,2.7482653061224487,184.05578231292517,0.9255071878495351,176.77484565515942,9.939749260167066,278.3384028843471,78392.14158163265,-0.003275593989194951,0.2974267136681114,2.323334803271591,-0.49999999999999994,-0.8660254037844387,-2.160780317963775,-0.8426638429130406
11,598.0,5.756183673469388,2.9636428571428572,179.37210884353743,1.0126251749369823,193.67004090320907,10.819518753387772,278.25812514947387,78395.14756058673,-0.0032302529145499695,0.2471391276176539,2.5895774958256683,-0.49999999999999994,-0.8660254037844387,-2.366209460262347,-0.7990842018061396
12,599.0,5.853275510204082,3.0274557823129253,183.61530612244897,1.0462553057316424,184.8865873439051,11.285500226831957,278.30179331253987,78387.3288424745,-0.0031872453110220935,0.3346507447111108,2.688669502342409,-0.49999999999999994,-0.8660254037844387,-2.4957814637645463,-0.8276439435889932
13,588.0,6.188006666666666,2.85851,183.09066666666666,1.0833046813330904,183.2748792651546,11.63037468684698,278.42747955322267,78379.07140625,-0.003219982404412084,0.3641909096703659,2.5582076325072176,-0.49999999999999994,-0.8660254037844388,-2.3975682527416793,-0.8292022119581911
14,589.0,6.060856666666667,2.77012,178.82266666666666,1.0856736304483103,180.57935731088037,11.529326827556147,278.57880126953125,78364.196015625,-0.003303222391062366,0.23944966196936338,2.3822389985410863,-0.49999999999999994,-0.8660254037844388,-2.182804321607263,-0.7728446623817031
15,590.0,5.58202,2.759463333333333,179.77366666666666,1.0749329929115121,189.34838198981885,11.114846890287588,278.5509979248047,78349.24953125,-0.003417943645170402,0.32841464315561586,2.0536936293706805,-0.49999999999999994,-0.8660254037844388,-1.942758176203081,-0.7454213496827086
16,591.0,4.998096666666667,2.5677266666666667,172.87599999999998,0.9815088327610184,177.68104146004242,10.584890732491212,278.5724124145508,78360.397578125,-0.003502855788496404,0.010385527881489482,1.5658925955640055,-0.49999999999999994,-0.8660254037844388,-1.3612955312971255,-0.6828661551738751
17,592.0,4.242166666666667,2.3536866666666665,169.93233333333333,0.9084248692711799,159.36616525733555,9.938970989195612,278.8026162719727,78350.46921875,-0.00354181212087755,-0.06090046654508521,1.199904625729954,-0.49999999999999994,-0.8660254037844388,-1.0086976547280564,-0.6442954209879769
18,593.0,3.7777666666666665,2.20735,159.85833333333335,0.7693374360394302,175.37006935801378,9.069937505112755,279.2962680053711,78364.529140625,-0.0036013733897790803,-0.3269655522270629,0.7144103080700862,-0.49999999999999994,-0.8660254037844388,-0.4552146994006302,-0.5164993920602815
19,594.0,3.46315,2.1186066666666665,157.577,0.6907905279576727,166.74821762100936,8.194377756895193,279.43048217773435,78382.470234375,-0.003637861633257692,-0.28438309404323475,0.9513427635193278,-0.49999999999999994,-0.8660254037844388,-0.6816954538926123,-0.4705227584895939
20,595.0,3.325616666666667,2.2912766666666666,141.73233333333334,0.6659328682637422,155.53251251816187,7.465297674305921,279.1808465576172,78395.813984375,-0.003614068205543542,-0.45232136712889776,0.5267239119762908,-0.49999999999999994,-0.8660254037844388,-0.2299956049877375,-0.2611762951040258
21,596.0,3.1482900000000003,2.2045333333333335,149.08066666666664,0.6960653950898721,155.11028689137697,6.752321152124317,278.9727169799805,78409.985078125,-0.00356824963313157,-0.3449742140921348,0.8010932434812358,-0.49999999999999994,-0.8660254037844388,-0.5212799926087556,-0.3068270164078112
22,597.0,2.9084033333333332,2.2092633333333334,130.86,0.7260523710458803,161.2040967446355,6.249075316654899,278.81629058837893,78415.965,-0.003491278691183704,-0.5198750058126336,0.4531660533853865,-0.49999999999999994,-0.8660254037844388,-0.13251581145816307,-0.1458718404937955
23,598.0,2.7772266666666665,1.9705200000000003,134.072,0.7578884253789675,173.17562822819517,5.796796058797989,278.6167053222656,78403.047109375,-0.0034190763929234217,-0.27253713263019536,0.5277972389360561,-0.49999999999999994,-0.8660254037844388,-0.3208172506508123,-0.1631148663187357
