glacier_name,upred,uera5,uobs,Tdewp,e,es,P,Tera,Qshf(obs),Qlhf(obs),Qthf(obs),Qshf(ERA5L),Qlhf(ERA5L),Qthf(ERA5L),Qshf(param),Qlhf(param),Qthf(param)
Place4,2.418599663190895,0.760946272,2.953414762,5.287565422854527,889.7913748359183,1320.524841686087,87216.8448483813,11.09956025,73.76499066653048,-45.545150585999814,28.219840080530666,19.00552383431581,-11.73469198841066,7.27083184590515,60.4073575702369,-37.2976688830127,23.1096886872242
Pyramid,2.649226038227167,0.85063077,1.958641041,-1.5154420632892425,547.1818618368007,659.0645997053873,53179.815188706816,1.043231634,2.8035101179656476,-7.845615498772322,-5.0421053808066745,1.2175543759311585,-3.407322635002742,-2.1897682590715837,3.7919822200580087,-10.61185200870416,-6.819869788646152
Satopanth,1.209133691679204,0.795090321,1.191695766,0.7500949454155261,645.2935819479005,912.2143588017594,57746.32510269402,5.646104839,10.024400093132131,-11.38824655256442,-1.3638464594322883,6.688203243881338,-7.598151193822053,-0.9099479499407153,10.171085806709334,-11.554889250026237,-1.3838034433169035
Schiaparelli,3.81329458731,5.523488849,3.915630097,3.4709720951802296,783.5052698111606,998.9198905596634,96673.75311601866,6.962984169,68.00257389425656,-30.198538076507777,37.80403581774878,95.92618539121027,-42.598837017186355,53.32734837402391,66.22531764499227,-29.409295295806906,36.81602234918537
Southcol,2.945434771361071,0.811718649,3.00697017,-3.2934966902357132,479.7021383336075,357.89570553019246,50518.667915368416,-7.158446983,-28.055597937186064,13.113192268161372,-14.942405669024692,-7.573487852212335,3.5398497857360502,-4.033638066476284,-27.48146107997931,12.844840582567423,-14.636620497411888
Trakarding,1.5616058490149838,0.752186069,1.604359911,2.2559440663634973,718.8439757654506,896.6149893168116,55669.714710829554,5.397511577,12.437528406930697,-10.211083661429555,2.2264447455011425,5.831195068102791,-4.787351533069329,1.0438435350334618,12.106084784583595,-9.938971836145393,2.167112948438202
Weart1,3.804552005239495,0.590052812,3.451063662,6.444732338722872,963.9650161452753,1301.7275453687716,85446.50327845982,10.88375111,82.80290496640244,-41.7324155595379,41.07048940686454,14.15739948676569,-7.135286846081339,7.022112640684352,91.28430796521822,-46.007017212923216,45.277290752295
Weart2,3.1719829043734715,0.62058038,2.462002315,4.890056475886638,865.502264474715,1101.4212898365324,82942.1919698833,8.395314552,44.230377317399146,-20.795075753303127,23.43530156409602,11.148854002265608,-5.241675011631191,5.907178990634417,56.98532444506587,-26.791861397834968,30.193463047230903
Weissee,2.9952967923659477,0.742220173,1.867991068,2.0817989933815397,709.9747023252805,771.7303104187024,74833.83448364765,3.256495198,11.74472743503424,-4.130097290187857,7.614630144846384,4.666603485423605,-1.6410365005182466,3.025566984905358,18.832501405392374,-6.62255156214643,12.209949843245944
Yala,1.4715064088079852,0.815173018,1.1066266,2.1917400364749824,715.5626846976887,690.3360674070193,55965.132858387464,1.689237765,2.6991631258854127,0.9994687234629479,3.6986318493483608,1.9882812788002073,0.7362374406162824,2.7245187194164897,3.589138231593727,1.3290161577345636,4.918154389328291
