,Estimator,RMSE,RMSE_era
69,192h,0.3727743110669376,1.5668309261602937
70,216h,0.3691445545807779,1.5678214652184768
71,240h,0.3668173482334913,1.5695441400902292
72,1h,2.202601973174441,2.5306451136770667
73,6h,1.9552535331899565,2.3302214693840777
74,24h,1.7186881994710028,2.0944466930659638
75,48h,1.5690521949140777,2.0091158322346057
76,72h,1.474124886630669,1.967332332835668
77,96h,1.4134985131458542,1.9440986525105404
78,120h,1.357803230575118,1.92533026553491
79,144h,1.3034416201701853,1.9072388032262992
80,168h,1.2579111260279665,1.8939631846864766
81,192h,1.2103936621438096,1.8782058907202752
82,216h,1.157976834534102,1.8606512962515729
83,240h,1.0979525132558154,1.8390667602330628
84,1h,5.1646632957996275,8.081584164894881
85,6h,4.898028581610053,7.897364739402677
86,24h,4.231756406469337,7.419506709732904
87,48h,4.200181333707166,7.391633501546305
88,72h,4.199782025121356,7.390551053195099
89,96h,4.208224887731293,7.398416437146535
90,120h,4.220346007155502,7.410932899456599
91,144h,4.239389021219766,7.430289388645847
92,168h,4.260297863330931,7.4509276408254586
93,192h,4.279479705922684,7.4696650639991296
94,216h,4.2968748562129075,7.487068850649558
95,240h,4.313260303351733,7.504078933227101
96,1h,1.5301606123828453,3.7856343332926135
97,6h,1.2637680149508919,3.712001827376911
98,24h,0.9291619211942305,3.6313862479727734
99,48h,0.8544883869670392,3.6139303493920587
100,72h,0.8050344927604242,3.6016835341890814
101,96h,0.7633490330413,3.5919933273719344
102,120h,0.7235415011333046,3.58468957206994
103,144h,0.6950967155935334,3.581425981615333
104,168h,0.6680046928525225,3.577909111519936
105,192h,0.6435994701653431,3.5748865411232105
106,216h,0.6242613416769986,3.57374129291929
107,240h,0.6086924474344305,3.5728830086550682
108,1h,2.719639620495876,3.843195746121367
109,6h,2.5298212785067786,3.707253092664817
110,24h,2.228057619659944,3.5182521502254804
111,48h,2.050123537957405,3.4145283880225823
112,72h,1.9325668752291987,3.3487396358021577
113,96h,1.8126077212147955,3.284567841552551
114,120h,1.6972552025192214,3.2266224932253667
115,144h,1.603995114537429,3.178772059089126
116,168h,1.5241544272365513,3.1340325022321887
117,192h,1.453596357583548,3.092454369004918
118,216h,1.3877513229527347,3.054110456510112
119,240h,1.3260645350227547,3.0211675796959847
120,1h,1.8386333107431718,2.1484595688920933
121,6h,1.4545988717768634,1.8121713171475344
122,24h,0.849714586091796,1.315787550486665
123,48h,0.7759536282804281,1.2722092231782722
124,72h,0.7252138884671911,1.2480182078822244
125,96h,0.6909375286680441,1.234550887039962
126,120h,0.6652112158015159,1.2269501191983507
127,144h,0.6407926457827761,1.2204399985489784
128,168h,0.6191861893607647,1.2150869670025473
129,192h,0.6006093301034725,1.2115372693841264
130,216h,0.5812221536589848,1.2082657933787653
131,240h,0.5606861408379987,1.2049172455865769
132,1h,1.2745549243462984,1.4139835831511516
133,6h,1.2221803528918047,1.3271454155271736
134,24h,1.220839019277806,1.1540191984300845
135,48h,1.2207133161658836,1.1471552631367787
136,72h,1.224512680145968,1.1457709554166362
137,96h,1.225105441446419,1.1469087952060497
138,120h,1.22049864935408,1.1486634159082367
139,144h,1.2165318455041279,1.1508146214787818
140,168h,1.2143070082719671,1.1522854238519238
141,192h,1.2138189403092796,1.1539212129834735
142,216h,1.2140641560193197,1.1555571064797572
143,240h,1.214604380913992,1.1570969125961286
144,1h,2.28867666193434,3.1794996343815476
145,6h,2.082242838701993,3.042834513519526
146,24h,1.7811295997242813,2.8928047400273287
147,48h,1.6488786140320542,2.833988170184827
148,72h,1.5624942929603483,2.801461861378804
