,datetime,temp,ws,wdir
264,2019/6/8 0:0,6.263,1.45,239.5
265,2019/6/8 1:0,5.303,1.137,309.4
266,2019/6/8 2:0,3.96,0.942,261.917
267,2019/6/8 3:0,3.298,1.163,272.033
268,2019/6/8 4:0,3.493,0.847,192.7
269,2019/6/8 5:0,3.137,1.038,268.283
270,2019/6/8 6:0,4.085,1.48,254.233
271,2019/6/8 7:0,6.363,1.185,162.633
272,2019/6/8 8:0,8.408,1.287,280.983
273,2019/6/8 9:0,10.597,1.172,248.383
274,2019/6/8 10:0,12.175,1.492,315.517
275,2019/6/8 11:0,13.63,1.728,284.1
276,2019/6/8 12:0,14.858,2.028,262.1
277,2019/6/8 13:0,16.337,1.623,238.283
278,2019/6/8 14:0,16.31,2.357,305.117
279,2019/6/8 15:0,12.845,2.765,327.683
280,2019/6/8 16:0,12.073,1.938,331.9
281,2019/6/8 17:0,11.993,1.323,247.05
282,2019/6/8 18:0,10.578,1.578,163.25
283,2019/6/8 19:0,11.55,1.463,241.35
284,2019/6/8 20:0,10.475,1.54,215.65
285,2019/6/8 21:0,8.357,1.955,277.7
286,2019/6/8 22:0,6.43,1.245,306.483
287,2019/6/8 23:0,4.998,1.018,300.467
288,2019/6/9 0:0,3.833,1.082,300.833
289,2019/6/9 1:0,3.157,1.028,317.65
290,2019/6/9 2:0,2.7,1.248,316.75
291,2019/6/9 3:0,2.178,0.872,302.283
292,2019/6/9 4:0,2.202,0.748,282.5
293,2019/6/9 5:0,2.373,1.157,228.667
294,2019/6/9 6:0,3.438,1.858,271.967
295,2019/6/9 7:0,5.533,1.493,96.1
296,2019/6/9 8:0,7.438,1.207,251.5
297,2019/6/9 9:0,9.93,0.73,182.983
298,2019/6/9 10:0,10.762,1.027,251.7
299,2019/6/9 11:0,12.38,0.942,193.15
300,2019/6/9 12:0,13.218,1.497,263.0
301,2019/6/9 13:0,14.527,1.438,270.633
302,2019/6/9 14:0,15.37,1.95,287.967
303,2019/6/9 15:0,15.517,2.538,290.5
304,2019/6/9 16:0,15.643,2.585,322.883
305,2019/6/9 17:0,14.318,2.43,329.317
306,2019/6/9 18:0,11.29,2.515,191.433
307,2019/6/9 19:0,12.608,2.357,275.867
308,2019/6/9 20:0,11.205,2.715,278.5
309,2019/6/9 21:0,11.172,1.972,223.083
310,2019/6/9 22:0,9.29,1.99,215.15
311,2019/6/9 23:0,7.357,1.52,265.333
312,2019/6/10 0:0,6.282,1.345,258.283
313,2019/6/10 1:0,5.435,1.325,270.65
314,2019/6/10 2:0,4.678,1.17,258.567
315,2019/6/10 3:0,4.813,1.267,275.7
316,2019/6/10 4:0,4.432,1.025,231.15
317,2019/6/10 5:0,3.953,1.045,205.183
318,2019/6/10 6:0,4.43,1.988,309.083
319,2019/6/10 7:0,6.868,1.923,253.817
320,2019/6/10 8:0,9.385,0.94,148.4
321,2019/6/10 9:0,11.315,1.073,217.0
322,2019/6/10 10:0,12.382,2.12,316.583
323,2019/6/10 11:0,13.09,2.148,300.233
324,2019/6/10 12:0,15.393,1.732,271.55
325,2019/6/10 13:0,14.425,2.12,325.95
326,2019/6/10 14:0,15.738,2.245,303.533
327,2019/6/10 15:0,15.618,2.182,176.383
328,2019/6/10 16:0,14.742,1.992,315.7
329,2019/6/10 17:0,13.11,2.473,229.25
330,2019/6/10 18:0,13.078,3.143,308.167
331,2019/6/10 19:0,12.727,2.567,339.133
332,2019/6/10 20:0,12.143,1.905,281.667
333,2019/6/10 21:0,10.013,1.573,311.2
334,2019/6/10 22:0,8.49,1.395,322.1
335,2019/6/10 23:0,6.548,1.668,250.483
336,2019/6/11 0:0,5.597,1.155,333.183
337,2019/6/11 1:0,5.452,0.988,222.45
338,2019/6/11 2:0,4.127,1.4,293.383
339,2019/6/11 3:0,4.818,1.802,340.35
340,2019/6/11 4:0,4.272,1.145,199.117
341,2019/6/11 5:0,4.703,1.038,247.067
342,2019/6/11 6:0,4.757,0.872,251.25
343,2019/6/11 7:0,5.662,1.74,206.767
344,2019/6/11 8:0,6.585,1.307,243.767
345,2019/6/11 9:0,7.288,1.328,158.6
346,2019/6/11 10:0,7.918,1.63,299.183
347,2019/6/11 11:0,7.895,2.03,322.8
348,2019/6/11 12:0,8.032,2.732,332.783
349,2019/6/11 13:0,8.682,1.495,255.483
350,2019/6/11 14:0,7.0,1.993,239.383
351,2019/6/11 15:0,7.792,1.562,230.317
352,2019/6/11 16:0,8.952,3.423,324.933
