glacier_name,Glacier_ID,Down_glacier_direction,Distance from terminus,channel_width_100m_from_lowest_point,channel_width_from_below,channel_width_Q,channel_width_100_above_station,channel_width_balaji,lat,lon,relief,stddev,relief_0.1,relief_1,relief_10,relief_20,relief_100,mean_wind_obs,stddev_0.1,stddev_1,stddev_10,stddev_20,stddev_100,Slope_120m,aspect_eastness_0.1km,aspect_eastness_1km,aspect_northness_0.1km,aspect_northness_1km,aspect_1km_50p,rgi_aspect,rgi_slope,station_z,Z_max,Z_min,glacier_length,glacier_area,glacier_width,glacier_width_at_station,Unnamed: 40,Distance from head,Distance from centerline,continentality,sensitivity,delay,A,B,mean_temp_era5,mean_wind_era5,mean_temp_obs,T_range_continentality,rel_distance_from_terminus,localtime,Mean_elev
Kalapathar,RGI2000-v7.0-G-15-06739,25,-0.56,0.796,0.689,1,1.19,0.577,27.99,86.83,4507,27.0692271,80,481,2344,4173,8366,1.993463113,27.0692271,113.0598157,351.1586431,626.9383633,1282.556399,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,170.3776379,303,23.56,5103.400631,7981,4879,1.73,0.83,0.479768786,0.577,,15.195,0.436,15.88784819,1.061196972,0.522977429,1.075057854,0.198015882,0.818983381,0.865812958,0.543783779,15.88784819,-0.323699422,1,5095.734896
Kennikot,RGI2000-v7.0-G-01-05740,344,5.496,5.37,4.5,1,5.96,4.56,61.4841,-142.9283,,1.414213562,4,50,1437,1773,4740,1.965662602,1.414213562,9.263435636,187.093511,384.1307008,784.2640494,0.012269396,-0.965925826,-0.965925826,0.258819045,0.258819045,,154,13.4,657,4952,407,44.9,292.5,6.514476615,4.56,,39.1,0.226,25.34660015,0.214432603,0.724913982,,,,,,25.34660015,0.122405345,1,608.1140607
Langenferner,RGI2000-v7.0-G-11-02875,250,1.281,1,0.391,0,1.65,0.523278,46.47245,10.61391,2627,5.851756621,21,380,1986,2623,3730,3.302900907,5.851756621,82.91998407,332.8616364,454.6898426,701.1469498,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,84.17444296,32,18.14,2954.449045,3399,2671,2.934,2.1629,0.737184731,0.523278,,1.775,0.253101,19.23615778,-0.073149585,-0.584279018,-0.067243296,-0.104939096,6.973101144,0.746077421,5.009774005,19.23615778,0.436605317,1,2957.259322
Lirung,RGI2000-v7.0-G-15-05739,303,1.792,0.922,0.383,1,1.18,0.361273,28.24,85.56,5025,14.43465881,48,572,3807,4553,7567,0.949922899,14.43465881,135.8730585,759.5799753,719.927965,1564.966084,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,194.3870968,139,32.48,4275.60443,7216,3988,8.57,4.786,0.558459743,0.361273,,5.934,0.281,14.76221421,0.273271725,0.597267957,0.2504947,0.006172637,6.536397181,0.78233097,8.454834009,14.76221421,0.209101517,1,4271.562606
Morimoto,RGI2000-v7.0-G-15-05844,132,1.807,0.706,,,,0.209,28.25296,85.68152,,,51,358,2703,4186,7491,,12.92768347,90.90092999,495.5043496,540.7106316,1462.869521,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,,90,22,4925,5914,4689,4.647,1.38,0.296965784,0.209,,2.84,0.2,16.47690275,0.757530034,0.619668597,,,,,,16.47690275,0.388853023,1,4919.709614
Mullwitzkeez,RGI2000-v7.0-G-11-03803,30,1.455,0.87,1.94,0,1.412,1.412,47.0839,12.3634,,11.96332286,37,394,1968,2547,3207,2.410974746,11.96332286,89.48093625,332.3447284,480.9654033,600.6888984,0.003207142,0.79863551,0.79863551,0.601815023,0.601815023,,210.5,17.2,2976,3407,2644,3.066,3.01,0.98173516,1.412,,2.166,1.238,19.38858914,0.14946279,0.47263326,,,,,,19.38858914,0.474559687,0,2975.566272
Otemma,RGI2000-v7.0-G-11-00859,55,1.407,0.853,,1,1.1,0.69,45.956,7.454,,1.876388375,6,141,1853,2494,4402,3.529426451,1.876388375,22.46643272,328.3360498,442.4180886,776.2661185,0.008812765,-0.848048096,-0.848048096,-0.529919264,-0.529919264,,286,15,2683,3759,2453,8.69,11.75,1.352128884,0.69,,6.1,0.028,21.74783288,-0.037994999,-2.473754506,,,,,,21.74783288,0.161910242,1,2841.428934
Place1,RGI2000-v7.0-G-02-07366,160,0.913,1.25,1.65,1,1.3,0.922,50.426073,-122.601628,2511,2.325880956,6,178,2100,2423,2824,2.893004112,2.325880956,37.77694243,489.790308,566.7144807,555.0690409,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,302.2306023,21.4,11.83,1970.368254,2560,1839,3.821,3.015,0.789060455,0.922,,2.909,0.007,22.80287048,0.049477401,0.292923833,0.047880957,0.014122168,11.91807616,0.75243269,5.25542797,22.80287048,0.238942685,1,1951.20486
Place2,RGI2000-v7.0-G-02-07366,160,1.386,1.48,1.25,1,1.63,1.301,50.421835,-122.598482,2511,3.596873642,10,146,2091,2498,2843,3.112724046,3.596873642,31.65912403,442.9990809,567.8371143,555.6863897,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,180,21.4,11.83,2024.669841,2560,1839,3.821,3.015,0.789060455,1.301,,2.445,0.198,22.80287048,0.049681702,1.155945657,0.052630254,-0.035429446,11.89857616,0.75243269,5.171575451,22.80287048,0.362732269,1,2011.009024
Place3,RGI2000-v7.0-G-02-07366,160,1.899,1.32,1.9,0,2.9,0.906,50.414718,-122.600217,2511,4.904646323,17,401,2008,2534,2843,3.179561858,4.904646323,59.81428895,379.877652,580.9377072,556.3424806,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,56.88029804,21.4,11.83,2095,2560,1839,3.821,3.015,0.789060455,0.906,,2.027,0.421089,22.80287048,0.047025579,2.605090979,0.056502671,-0.105381371,11.84657616,0.75243269,5.695522727,22.80287048,0.496990317,1,2091.599605
Place4,RGI2000-v7.0-G-02-07366,42,2.954,0.649,,,,0.649,50.412846,-122.615898,,,10,343,2152,2462,2843,,3.291402943,64.53562702,385.2287578,597.8875535,557.1139097,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,,21.4,11.83,2330,2560,1839,3.821,3.015,0.789060455,0.649,,0.867,0.023,22.80287048,0.050767186,4.06537156,,,,,,22.80287048,0.773096048,1,2309.265577
Pyramid,RGI2000-v7.0-G-15-08331,30,5.545,1.35,1.15,1,2.94,0.872,27.957823,86.814909,4237,16.45020897,59,428,2927,4529,8265,3.224457912,16.45020897,90.7405461,449.5057654,675.3717621,1200.63798,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,148.4286615,303,23.56,5410.542857,7981,4879,18.546,26.35,1.420791545,0.872,,11.841,1.292,15.88784819,0.531705432,1.441247053,0.461316354,-0.609502498,2.452417026,0.83500587,3.280989995,15.88784819,0.298986304,0,5406.767993
Satopanth,RGI2000-v7.0-G-15-00882,247,1.186,0.974,1.459,1,1.2,0.750868,30.773251,79.408794,3822,8.576630676,32,420,3150,4318,7148,1.223555704,8.576630676,64.91782094,565.2783277,729.6095362,1439.995984,0.055348579,-0.573576436,-0.573576436,-0.819152044,-0.819152044,98.30364372,34.36,19.7,3909.812698,7056,3755,20.106,57.04,2.83696409,0.750868,,13.503,0.042383,23.02176424,0.577815977,0.057792804,0.514601655,0.104377441,3.055877426,0.799514221,10.481062,23.02176424,0.058987367,1,3900.70784
Schiaparelli,RGI2000-v7.0-G-17-15343,90,1.677,2.05,1.54,1,2.23,1.581,-54.4,-70.87,2185,2.869560071,10,105,2178,2180,2293,4.130529456,2.869560071,18.40521817,403.5579852,383.2407779,266.6679765,0.012010698,0.48480962,0.48480962,-0.874619707,-0.874619707,254,343,13.85,196.5348101,1953,4.79,10.831,24.7903,2.288828363,1.581,,9.21,0.358567,6.91114226,0.429816919,0.728755046,0.102289346,-0.092711431,1.818933348,5.325776039,3.328122231,6.91114226,0.154833349,0,172.6333897
Southcol,RGI2000-v7.0-G-15-08331,257,18.225,1.04,,,,1,27.9719,86.9295,,,72,575,3760,4497,8322,,20.62528409,121.4592227,855.5799613,718.8731727,1281.559884,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,,303,23.56,7905,7981,4879,18.546,26.35,1.420791545,1,,0.321,1.064,15.88784819,0.062410538,-0.563546146,,,,,,15.88784819,0.982691686,0,7935.570178
Trakarding,RGI2000-v7.0-G-15-08533,52,0.42985,0.718,0.96,1,1.83,0.29821,27.843,86.487,3205,16.06670124,49,351,2557,3258,8307,1.631054633,16.06670124,92.04592469,467.7578452,532.7034206,1601.199158,0.040730692,-0.139173101,-0.139173101,-0.990268069,-0.990268069,56.29484029,327,16.99,4820.895238,6677,4545,17.869,32.09,1.795847557,0.29821,,17.535,0.65216,13.99930349,0.492537526,1.547936748,0.512998566,-0.323792842,3.422056537,0.756070596,5.107480108,13.99930349,0.024055627,1,4818.349591
Vernatferner,RGI2000-v7.0-G-11-03124,308,1.41,1.19,0.5,1,1.25,0.809,46.868939,10.802986,,9.688709602,30,304,1534,2173,3662,3.453794643,9.688709602,65.96651362,288.120823,389.2698162,683.289241,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,154,15.7,3066,3574,2794,3.018,8.56,2.836315441,0.809,,1.755,0.425,19.65108953,0.001610224,52.7111744,,,,,,19.65108953,0.467196819,0,3070.209191
Weart1,RGI2000-v7.0-G-02-07402,200,2.929,1.64,1.46,1,1.7,1.325,50.155944,-122.760257,2455,7.559916914,22,199,1717,2553,2953,3.548298643,7.559916914,39.49202282,277.2470801,453.9096867,573.4797648,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,42.50528131,14.18,11.88,2164.47619,2759,1655,6.503,8.111,1.247270491,1.325,,3.71,0.178,21.41901511,0.039235695,6.221626966,0.068523458,-0.187206645,9.012362882,0.653672954,4.406618197,21.41901511,0.450407504,1,2156.297236
Weart2,RGI2000-v7.0-G-02-07402,200,5.108,1.45,1.02,0,1.66,0.683,50.138823,-122.775232,2455,4.099457959,11,225,1859,2518,2953,2.512556793,4.099457959,39.30963741,351.4318799,482.4784122,571.3954359,0.02160316,-0.882947593,-0.882947593,-0.469471563,-0.469471563,74.5,14.18,11.88,2298.203822,2759,1655,6.503,8.111,1.247270491,0.683,,1.479,0.072964,21.41901511,0.086409167,2.870331016,0.087362065,-0.139297784,9.003912882,0.653672954,5.225503842,21.41901511,0.785483623,1,2310.925466
Weissee,RGI2000-v7.0-G-11-03239,85,7.681,0.63,,,,0.63,46.872909,10.714437,,,10,351,1765,2177,3628,,3.040239391,71.43047416,356.3551159,366.1808683,651.1976537,0.008095141,-0.874619707,-0.874619707,-0.48480962,-0.48480962,,353,11.699,3507,3486,2113,7.823,16.7222,2.137568708,0.63,,0.142,0.028,20.45475584,-0.141527418,-0.636685907,,,,,,20.45475584,0.981848396,1,2465.415766
Yala,RGI2000-v7.0-G-15-05917,36,1.354,0.648,0.94047619,0,0.648,0.648,28.23,85.62,3781,5.661762584,17,486,2872,3516,7538,1.114681788,5.661762584,112.9249811,609.2177873,555.1936894,1546.928357,0.028148301,-0.224951054,-0.224951054,-0.974370065,-0.974370065,228.9801634,225.8,22.72,5213.642405,5644,5080,2.184,2.054,0.94047619,0.648,,0.491,0.281151,14.76221421,0.050268037,3.445915437,0.069593185,-0.180409956,3.259881223,0.808418251,1.627204694,14.76221421,0.61996337,1,5202.667983
